case_id,crime_no,case_no,district,police_station,latitude,longitude,crime_type,crime_head,act_section,is_heinous,date_registered,hour,time_of_day,status,weapon,victim_name,victim_age,victim_gender,accused_name,accused_age,accused_gender,accused_id,investigating_officer,court,brief_facts
C12,144790013202600012,202600012,Shivamogga,Shivamogga Town PS,13.988005,75.520577,Vehicle Theft,Crimes Against Property,BNS 303,False,2026-06-12,23,Night,Closed,Not Applicable,Praveen Desai,44,M,Meena Hegde,47,M,A/1539,Inspector B. Veeresh,Shivamogga District & Sessions Court,Vehicle Theft reported at Shivamogga Town PS. Complaint registered and investigation concluded.
C13,144800014202600013,202600013,Tumakuru,Tumakuru City PS,13.320023,77.115671,Robbery,Crimes Against Property,BNS 309,True,2026-07-13,5,Night,Closed,Blunt Object,Fathima Gowda,24,F,Girish Hegde,56,M,A/1877,Sub-Inspector R. Nagesh,Tumakuru District & Sessions Court,Robbery reported at Tumakuru City PS. Complaint registered and investigation concluded.
C14,144710003202600014,202600014,Mysuru,Devaraja PS,12.346976,76.676095,Assault,Crimes Against Body,BNS 118,False,2026-04-23,10,Morning,Undetected,None,Naveen Kumar,23,M,Manjunath Patil,43,M,A/1263,Inspector S. Chandrakala,Mysuru District & Sessions Court,Assault reported at Devaraja PS. Complaint registered and investigation ongoing.
C15,144710009202600015,202600015,Mysuru,Vijayanagar PS,12.284973,76.659354,Chain Snatching,Crimes Against Property,BNS 304,False,2026-06-17,15,Afternoon,Charge Sheeted,None,Josephine Rao,72,M,Gowramma Naik,39,F,A/1406,Inspector S. Chandrakala,Mysuru District & Sessions Court,Chain Snatching reported at Vijayanagar PS. Complaint registered and investigation forwarded to court.
C16,144190005202600016,202600016,Kalaburagi,Kalaburagi Town PS,17.335425,76.889054,NDPS Offence,Narcotics,NDPS Act 20,True,2026-02-16,14,Afternoon,Under Investigation,Not Applicable,Karthik Poojary,57,M,Sowmya Kulkarni,35,M,A/1052,Sub-Inspector M. Iqbal,Kalaburagi District & Sessions Court,NDPS Offence reported at Kalaburagi Town PS. Complaint registered and investigation ongoing.
C17,144710009202600017,202600017,Mysuru,Vijayanagar PS,12.270047,76.702325,Theft,Crimes Against Property,BNS 303,False,2026-03-31,1,Night,Charge Sheeted,None,Josephine Kulkarni,65,M,Praveen Patil,26,M,A/1753,Sub-Inspector M. Iqbal,Mysuru District & Sessions Court,Theft reported at Vijayanagar PS. Complaint registered and investigation forwarded to court.
C18,144120007202600018,202600018,Dakshina Kannada,Ullal PS,12.896399,74.943898,Vehicle Theft,Crimes Against Property,BNS 303,False,2026-03-12,0,Night,Under Investigation,Not Applicable,Shivakumar Naik,70,F,Nagaraj Kumar,29,F,A/1571,Sub-Inspector R. Nagesh,Dakshina Kannada District & Sessions Court,Vehicle Theft reported at Ullal PS. Complaint registered and investigation ongoing.
C19,144300006202600019,202600019,Bengaluru Urban,Cubbon Park PS,12.967491,77.587622,Rioting,Crimes Against Public Order,BNS 191,True,2026-06-14,13,Afternoon,Under Investigation,None,Gowramma Kumar,27,F,Imran Naik,32,F,A/1025,Inspector S. Chandrakala,Bengaluru Urban District & Sessions Court,Rioting reported at Cubbon Park PS. Complaint registered and investigation ongoing.
C20,144300006202600020,202600020,Bengaluru Urban,Cubbon Park PS,12.924368,77.538445,Missing Person,Missing / UD,BNSS 174,False,2026-07-11,7,Morning,Charge Sheeted,Not Applicable,Praveen Rao,56,M,Kavya Kumar,43,M,A/1776,Sub-Inspector R. Nagesh,Bengaluru Urban District & Sessions Court,Missing Person reported at Cubbon Park PS. Complaint registered and investigation forwarded to court.
C21,144030010202600021,202600021,Belagavi,Tilakwadi PS,15.861163,74.465933,Theft,Crimes Against Property,BNS 303,False,2026-07-06,22,Night,Charge Sheeted,None,Kavya Kulkarni,53,F,Praveen Rao,36,M,A/1628,Sub-Inspector T. Ashwini,Belagavi District & Sessions Court,Theft reported at Tilakwadi PS. Complaint registered and investigation forwarded to court.
C22,144790013202600022,202600022,Shivamogga,Shivamogga Town PS,13.973203,75.621916,Rioting,Crimes Against Public Order,BNS 191,True,2026-07-16,1,Night,Charge Sheeted,Blunt Object,Deepa Rao,60,F,Chandrashekar Poojary,44,F,A/1036,Sub-Inspector T. Ashwini,Shivamogga District & Sessions Court,Rioting reported at Shivamogga Town PS. Complaint registered and investigation forwarded to court.
C23,144190005202600023,202600023,Kalaburagi,Kalaburagi Town PS,17.373027,76.767454,Assault,Crimes Against Body,BNS 118,False,2026-07-16,20,Evening,Undetected,Knife,Josephine Hegde,25,M,Nagaraj Gowda,28,M,A/1543,Inspector S. Chandrakala,Kalaburagi District & Sessions Court,Assault reported at Kalaburagi Town PS. Complaint registered and investigation ongoing.
C24,144300022202600024,202600024,Bengaluru Urban,Yeshwanthpur PS,12.984057,77.536631,Theft,Crimes Against Property,BNS 303,False,2026-02-24,0,Night,Closed,None,Karthik Kulkarni,51,M,Imran Gowda,45,M,A/1358,Sub-Inspector T. Ashwini,Bengaluru Urban District & Sessions Court,Theft reported at Yeshwanthpur PS. Complaint registered and investigation concluded.
C25,144800014202600025,202600025,Tumakuru,Tumakuru City PS,13.272564,77.20191,Vehicle Theft,Crimes Against Property,BNS 303,False,2026-07-14,21,Night,Under Investigation,Not Applicable,Chandrashekar Reddy,24,F,Shivakumar Gowda,20,F,A/1175,Sub-Inspector T. Ashwini,Tumakuru District & Sessions Court,Vehicle Theft reported at Tumakuru City PS. Complaint registered and investigation ongoing.
C26,144710003202600026,202600026,Mysuru,Devaraja PS,12.297787,76.573196,NDPS Offence,Narcotics,NDPS Act 20,True,2026-06-06,14,Afternoon,Undetected,Not Applicable,Imran Naik,23,F,Naveen Hegde,29,M,A/1619,Sub-Inspector T. Ashwini,Mysuru District & Sessions Court,NDPS Offence reported at Devaraja PS. Complaint registered and investigation ongoing.
C27,144300011202600027,202600027,Bengaluru Urban,Whitefield PS,12.960009,77.632153,Rioting,Crimes Against Public Order,BNS 191,True,2026-05-20,2,Night,Closed,Blunt Object,Naveen Naik,60,F,Meena Bhat,22,M,A/1376,Sub-Inspector M. Iqbal,Bengaluru Urban District & Sessions Court,Rioting reported at Whitefield PS. Complaint registered and investigation concluded.
C28,144130012202600028,202600028,Dharwad,Hubballi Old City PS,15.4379,75.044131,Robbery,Crimes Against Property,BNS 309,True,2026-03-29,14,Afternoon,Charge Sheeted,None,Sowmya Rao,48,F,Meena Kulkarni,36,M,A/1773,Sub-Inspector R. Nagesh,Dharwad District & Sessions Court,Robbery reported at Hubballi Old City PS. Complaint registered and investigation forwarded to court.
C29,144800014202600029,202600029,Tumakuru,Tumakuru City PS,13.334548,77.175779,Chain Snatching,Crimes Against Property,BNS 304,False,2026-04-13,13,Afternoon,Under Investigation,None,Ramesh Poojary,22,F,Rajesh Poojary,52,F,A/1250,Sub-Inspector R. Nagesh,Tumakuru District & Sessions Court,Chain Snatching reported at Tumakuru City PS. Complaint registered and investigation ongoing.
C30,144790013202600030,202600030,Shivamogga,Shivamogga Town PS,13.843059,75.640397,Cyber Fraud,Cyber Crime,IT Act 66D,False,2026-01-20,23,Night,Charge Sheeted,Not Applicable,Deepa Shetty,41,F,Meena Shetty,23,M,A/1640,Inspector S. Chandrakala,Shivamogga District & Sessions Court,Cyber Fraud reported at Shivamogga Town PS. Complaint registered and investigation forwarded to court.
C31,144710003202600031,202600031,Mysuru,Devaraja PS,12.231188,76.611694,Theft,Crimes Against Property,BNS 303,False,2026-05-17,7,Morning,Under Investigation,Not Applicable,Chandrashekar Rao,65,F,Karthik Rao,21,F,A/1450,Sub-Inspector T. Ashwini,Mysuru District & Sessions Court,Theft reported at Devaraja PS. Complaint registered and investigation ongoing.
C32,144710009202600032,202600032,Mysuru,Vijayanagar PS,12.210466,76.601977,Robbery,Crimes Against Property,BNS 309,True,2026-04-12,15,Afternoon,Under Investigation,None,Rajesh Kulkarni,68,F,Ramesh Patil,50,M,A/1875,Sub-Inspector R. Nagesh,Mysuru District & Sessions Court,Robbery reported at Vijayanagar PS. Complaint registered and investigation ongoing.
C33,144190005202600033,202600033,Kalaburagi,Kalaburagi Town PS,17.244831,76.777098,Missing Person,Missing / UD,BNSS 174,False,2026-07-16,16,Afternoon,Under Investigation,Not Applicable,Suresh Shetty,35,M,Gowramma Hegde,26,F,A/1275,Inspector B. Veeresh,Kalaburagi District & Sessions Court,Missing Person reported at Kalaburagi Town PS. Complaint registered and investigation ongoing.
C34,144030010202600034,202600034,Belagavi,Tilakwadi PS,15.813173,74.525342,Burglary,Crimes Against Property,BNS 331,False,2026-05-27,4,Night,Under Investigation,None,Suresh Gowda,58,F,Naveen Reddy,44,M,A/1835,Sub-Inspector R. Nagesh,Belagavi District & Sessions Court,Burglary reported at Tilakwadi PS. Complaint registered and investigation ongoing.
C35,144300011202600035,202600035,Bengaluru Urban,Whitefield PS,12.990399,77.643725,Robbery,Crimes Against Property,BNS 309,True,2026-06-03,22,Night,Charge Sheeted,None,Basavaraj Naik,61,F,Imran Kulkarni,32,F,A/1649,Sub-Inspector T. Ashwini,Bengaluru Urban District & Sessions Court,Robbery reported at Whitefield PS. Complaint registered and investigation forwarded to court.
C36,144790013202600036,202600036,Shivamogga,Shivamogga Town PS,13.960038,75.518635,Assault,Crimes Against Body,BNS 118,False,2026-04-15,16,Afternoon,Under Investigation,Knife,Nagaraj Poojary,62,M,Gowramma Patil,49,M,A/1476,Sub-Inspector T. Ashwini,Shivamogga District & Sessions Court,Assault reported at Shivamogga Town PS. Complaint registered and investigation ongoing.
C37,144030010202600037,202600037,Belagavi,Tilakwadi PS,15.763208,74.539337,Theft,Crimes Against Property,BNS 303,False,2026-02-15,14,Afternoon,Under Investigation,None,Yallappa Patil,60,M,Naveen Shetty,27,F,A/1036,Sub-Inspector T. Ashwini,Belagavi District & Sessions Court,Theft reported at Tilakwadi PS. Complaint registered and investigation ongoing.
C38,144120002202600038,202600038,Dakshina Kannada,Mangaluru North PS,12.921587,74.798872,Robbery,Crimes Against Property,BNS 309,True,2026-06-25,1,Night,Charge Sheeted,Blunt Object,Rajesh Poojary,29,F,Karthik Naik,57,M,A/1241,Inspector B. Veeresh,Dakshina Kannada District & Sessions Court,Robbery reported at Mangaluru North PS. Complaint registered and investigation forwarded to court.
C39,144300022202600039,202600039,Bengaluru Urban,Yeshwanthpur PS,12.968585,77.683117,Rioting,Crimes Against Public Order,BNS 191,True,2026-04-07,16,Afternoon,Charge Sheeted,None,Imran Rao,27,M,Josephine Kulkarni,43,F,A/1479,Sub-Inspector T. Ashwini,Bengaluru Urban District & Sessions Court,Rioting reported at Yeshwanthpur PS. Complaint registered and investigation forwarded to court.
C40,144300022202600040,202600040,Bengaluru Urban,Yeshwanthpur PS,13.038091,77.534312,Chain Snatching,Crimes Against Property,BNS 304,False,2026-07-18,19,Evening,Undetected,None,Shivakumar Kulkarni,34,F,Vinay Rao,32,M,A/1369,Sub-Inspector M. Iqbal,Bengaluru Urban District & Sessions Court,Chain Snatching reported at Yeshwanthpur PS. Complaint registered and investigation ongoing.
C41,144130015202600041,202600041,Dharwad,Vidyagiri PS,15.335015,75.11402,Murder,Crimes Against Body,BNS 103,True,2026-07-24,18,Evening,Charge Sheeted,Firearm,Gowramma Rao,60,M,Fathima Naik,58,M,A/1037,Sub-Inspector M. Iqbal,Dharwad District & Sessions Court,Murder reported at Vidyagiri PS. Complaint registered and investigation forwarded to court.
C42,144300006202600042,202600042,Bengaluru Urban,Cubbon Park PS,12.913289,77.647725,Theft,Crimes Against Property,BNS 303,False,2026-02-19,21,Night,Undetected,None,Anitha Patil,21,M,Rajesh Bhat,20,F,A/1560,Sub-Inspector R. Nagesh,Bengaluru Urban District & Sessions Court,Theft reported at Cubbon Park PS. Complaint registered and investigation ongoing.
C43,144800014202600043,202600043,Tumakuru,Tumakuru City PS,13.29635,77.109043,Missing Person,Missing / UD,BNSS 174,False,2026-03-17,10,Morning,Charge Sheeted,Not Applicable,Girish Bhat,35,M,Shivakumar Rao,55,F,A/1662,Sub-Inspector M. Iqbal,Tumakuru District & Sessions Court,Missing Person reported at Tumakuru City PS. Complaint registered and investigation forwarded to court.
C44,144120007202600044,202600044,Dakshina Kannada,Ullal PS,12.994687,74.853141,Assault,Crimes Against Body,BNS 118,False,2026-07-14,9,Morning,Closed,Blunt Object,Lakshmi Kumar,59,F,Praveen Desai,47,F,A/1209,Sub-Inspector T. Ashwini,Dakshina Kannada District & Sessions Court,Assault reported at Ullal PS. Complaint registered and investigation concluded.
C45,144190005202600045,202600045,Kalaburagi,Kalaburagi Town PS,17.339893,76.831849,Theft,Crimes Against Property,BNS 303,False,2026-01-04,13,Afternoon,Under Investigation,Not Applicable,Rajesh Bhat,42,F,Vinay Kumar,42,F,A/1555,Sub-Inspector M. Iqbal,Kalaburagi District & Sessions Court,Theft reported at Kalaburagi Town PS. Complaint registered and investigation ongoing.
C46,144710003202600046,202600046,Mysuru,Devaraja PS,12.355978,76.604255,Missing Person,Missing / UD,BNSS 174,False,2026-04-11,3,Night,Under Investigation,Not Applicable,Josephine Bhat,63,M,Anitha Rao,57,F,A/1221,Sub-Inspector T. Ashwini,Mysuru District & Sessions Court,Missing Person reported at Devaraja PS. Complaint registered and investigation ongoing.
C47,144030004202600047,202600047,Belagavi,Belagavi Camp PS,15.817212,74.457735,NDPS Offence,Narcotics,NDPS Act 20,True,2026-03-24,18,Evening,Charge Sheeted,Not Applicable,Fathima Gowda,71,M,Fathima Hegde,35,F,A/1033,Sub-Inspector M. Iqbal,Belagavi District & Sessions Court,NDPS Offence reported at Belagavi Camp PS. Complaint registered and investigation forwarded to court.
C48,144020008202600048,202600048,Ballari,Ballari City PS,15.157651,76.85399,Chain Snatching,Crimes Against Property,BNS 304,False,2026-05-31,3,Night,Under Investigation,None,Praveen Gowda,66,M,Girish Desai,33,M,A/1705,Inspector B. Veeresh,Ballari District & Sessions Court,Chain Snatching reported at Ballari City PS. Complaint registered and investigation ongoing.
C49,144710003202600049,202600049,Mysuru,Devaraja PS,12.330859,76.717109,NDPS Offence,Narcotics,NDPS Act 20,True,2026-02-06,4,Night,Under Investigation,Not Applicable,Manjunath Gowda,47,M,Rajesh Bhat,23,M,A/1717,Inspector B. Veeresh,Mysuru District & Sessions Court,NDPS Offence reported at Devaraja PS. Complaint registered and investigation ongoing.
C50,144190005202600050,202600050,Kalaburagi,Kalaburagi Town PS,17.386827,76.91566,Rioting,Crimes Against Public Order,BNS 191,True,2026-04-21,6,Morning,Closed,Blunt Object,Karthik Bhat,68,F,Karthik Desai,24,F,A/1324,Sub-Inspector T. Ashwini,Kalaburagi District & Sessions Court,Rioting reported at Kalaburagi Town PS. Complaint registered and investigation concluded.
C51,144800014202600051,202600051,Tumakuru,Tumakuru City PS,13.277721,77.090068,Robbery,Crimes Against Property,BNS 309,True,2026-03-23,1,Night,Under Investigation,Knife,Nagaraj Gowda,54,F,Vinay Gowda,57,M,A/1020,Sub-Inspector R. Nagesh,Tumakuru District & Sessions Court,Robbery reported at Tumakuru City PS. Complaint registered and investigation ongoing.
C52,144300006202600052,202600052,Bengaluru Urban,Cubbon Park PS,12.88389,77.535339,Vehicle Theft,Crimes Against Property,BNS 303,False,2026-02-02,11,Morning,Closed,Not Applicable,Lakshmi Naik,19,M,Manjunath Poojary,35,F,A/1305,Sub-Inspector R. Nagesh,Bengaluru Urban District & Sessions Court,Vehicle Theft reported at Cubbon Park PS. Complaint registered and investigation concluded.
C53,144710003202600053,202600053,Mysuru,Devaraja PS,12.321156,76.573694,Theft,Crimes Against Property,BNS 303,False,2026-03-03,12,Afternoon,Charge Sheeted,Not Applicable,Praveen Desai,21,M,Naveen Desai,32,M,A/1522,Inspector S. Chandrakala,Mysuru District & Sessions Court,Theft reported at Devaraja PS. Complaint registered and investigation forwarded to court.
C54,144090016202600054,202600054,Davanagere,Davanagere PS,14.46461,75.901844,Cyber Fraud,Cyber Crime,IT Act 66D,False,2026-04-11,11,Morning,Under Investigation,Not Applicable,Shivakumar Rao,21,M,Josephine Kumar,49,M,A/1284,Sub-Inspector T. Ashwini,Davanagere District & Sessions Court,Cyber Fraud reported at Davanagere PS. Complaint registered and investigation ongoing.
C55,144710009202600055,202600055,Mysuru,Vijayanagar PS,12.277755,76.710435,NDPS Offence,Narcotics,NDPS Act 20,True,2026-05-21,0,Night,Charge Sheeted,Not Applicable,Rajesh Desai,28,M,Anitha Kulkarni,35,F,A/1022,Sub-Inspector R. Nagesh,Mysuru District & Sessions Court,NDPS Offence reported at Vijayanagar PS. Complaint registered and investigation forwarded to court.
C56,144130015202600056,202600056,Dharwad,Vidyagiri PS,15.295088,75.147742,Robbery,Crimes Against Property,BNS 309,True,2026-01-04,13,Afternoon,Under Investigation,Knife,Naveen Poojary,60,M,Gowramma Poojary,46,M,A/1881,Sub-Inspector T. Ashwini,Dharwad District & Sessions Court,Robbery reported at Vidyagiri PS. Complaint registered and investigation ongoing.
C57,144030010202600057,202600057,Belagavi,Tilakwadi PS,15.811689,74.440783,Vehicle Theft,Crimes Against Property,BNS 303,False,2026-04-16,15,Afternoon,Under Investigation,Not Applicable,Kavya Shetty,72,F,Naveen Patil,28,M,A/1166,Inspector B. Veeresh,Belagavi District & Sessions Court,Vehicle Theft reported at Tilakwadi PS. Complaint registered and investigation ongoing.
C58,144020008202600058,202600058,Ballari,Ballari City PS,15.178365,76.962394,Chain Snatching,Crimes Against Property,BNS 304,False,2026-04-25,8,Morning,Under Investigation,None,Basavaraj Shetty,29,F,Gowramma Poojary,35,F,A/1356,Sub-Inspector M. Iqbal,Ballari District & Sessions Court,Chain Snatching reported at Ballari City PS. Complaint registered and investigation ongoing.
C59,144300022202600059,202600059,Bengaluru Urban,Yeshwanthpur PS,12.974825,77.543277,Chain Snatching,Crimes Against Property,BNS 304,False,2026-07-11,11,Morning,Charge Sheeted,None,Ramesh Naik,35,F,Vinay Gowda,53,M,A/1608,Inspector B. Veeresh,Bengaluru Urban District & Sessions Court,Chain Snatching reported at Yeshwanthpur PS. Complaint registered and investigation forwarded to court.
C60,144300011202600060,202600060,Bengaluru Urban,Whitefield PS,12.954737,77.589564,Murder,Crimes Against Body,BNS 103,True,2026-03-08,10,Morning,Charge Sheeted,Knife,Kavya Rao,67,M,Sowmya Hegde,51,F,A/1584,Sub-Inspector T. Ashwini,Bengaluru Urban District & Sessions Court,Murder reported at Whitefield PS. Complaint registered and investigation forwarded to court.
C61,144090016202600061,202600061,Davanagere,Davanagere PS,14.516986,75.870436,Missing Person,Missing / UD,BNSS 174,False,2026-04-23,20,Evening,Undetected,Not Applicable,Praveen Kulkarni,66,M,Naveen Naik,46,F,A/1569,Sub-Inspector M. Iqbal,Davanagere District & Sessions Court,Missing Person reported at Davanagere PS. Complaint registered and investigation ongoing.
C62,144710003202600062,202600062,Mysuru,Devaraja PS,12.315126,76.716798,Theft,Crimes Against Property,BNS 303,False,2026-02-16,16,Afternoon,Under Investigation,Not Applicable,Ramesh Rao,38,F,Karthik Bhat,30,M,A/1571,Sub-Inspector R. Nagesh,Mysuru District & Sessions Court,Theft reported at Devaraja PS. Complaint registered and investigation ongoing.
C63,144120002202600063,202600063,Dakshina Kannada,Mangaluru North PS,12.990921,74.858631,Missing Person,Missing / UD,BNSS 174,False,2026-01-18,15,Afternoon,Charge Sheeted,Not Applicable,Deepa Kulkarni,72,M,Anitha Patil,46,F,A/1823,Sub-Inspector M. Iqbal,Dakshina Kannada District & Sessions Court,Missing Person reported at Mangaluru North PS. Complaint registered and investigation forwarded to court.
C64,144020008202600064,202600064,Ballari,Ballari City PS,15.113672,76.935419,Missing Person,Missing / UD,BNSS 174,False,2026-05-22,15,Afternoon,Under Investigation,Not Applicable,Nagaraj Bhat,19,M,Karthik Patil,53,F,A/1267,Inspector S. Chandrakala,Ballari District & Sessions Court,Missing Person reported at Ballari City PS. Complaint registered and investigation ongoing.
C65,144090016202600065,202600065,Davanagere,Davanagere PS,14.456627,75.913396,Rioting,Crimes Against Public Order,BNS 191,True,2026-05-11,6,Morning,Under Investigation,None,Naveen Reddy,31,F,Manjunath Bhat,28,F,A/1321,Sub-Inspector M. Iqbal,Davanagere District & Sessions Court,Rioting reported at Davanagere PS. Complaint registered and investigation ongoing.
C66,144190005202600066,202600066,Kalaburagi,Kalaburagi Town PS,17.414742,76.745329,NDPS Offence,Narcotics,NDPS Act 20,True,2026-03-12,11,Morning,Charge Sheeted,Not Applicable,Fathima Naik,31,F,Girish Gowda,30,M,A/1231,Inspector S. Chandrakala,Kalaburagi District & Sessions Court,NDPS Offence reported at Kalaburagi Town PS. Complaint registered and investigation forwarded to court.
C67,144800014202600067,202600067,Tumakuru,Tumakuru City PS,13.284536,77.127901,Robbery,Crimes Against Property,BNS 309,True,2026-03-31,14,Afternoon,Undetected,Knife,Suresh Naik,68,F,Nagaraj Bhat,22,F,A/1009,Sub-Inspector R. Nagesh,Tumakuru District & Sessions Court,Robbery reported at Tumakuru City PS. Complaint registered and investigation ongoing.
C68,144120007202600068,202600068,Dakshina Kannada,Ullal PS,12.825006,74.779443,Missing Person,Missing / UD,BNSS 174,False,2026-06-04,1,Night,Under Investigation,Not Applicable,Chandrashekar Patil,18,M,Anitha Kumar,29,M,A/1048,Sub-Inspector R. Nagesh,Dakshina Kannada District & Sessions Court,Missing Person reported at Ullal PS. Complaint registered and investigation ongoing.
C69,144130015202600069,202600069,Dharwad,Vidyagiri PS,15.342663,75.158408,Cyber Fraud,Cyber Crime,IT Act 66D,False,2026-07-10,11,Morning,Charge Sheeted,Not Applicable,Nagaraj Rao,32,F,Deepa Patil,36,F,A/1235,Inspector S. Chandrakala,Dharwad District & Sessions Court,Cyber Fraud reported at Vidyagiri PS. Complaint registered and investigation forwarded to court.
C70,144090016202600070,202600070,Davanagere,Davanagere PS,14.520366,76.005862,Robbery,Crimes Against Property,BNS 309,True,2026-06-12,22,Night,Charge Sheeted,Blunt Object,Lakshmi Naik,41,F,Fathima Kulkarni,21,M,A/1484,Sub-Inspector M. Iqbal,Davanagere District & Sessions Court,Robbery reported at Davanagere PS. Complaint registered and investigation forwarded to court.
C71,144030010202600071,202600071,Belagavi,Tilakwadi PS,15.873855,74.498045,Chain Snatching,Crimes Against Property,BNS 304,False,2026-06-03,20,Evening,Closed,None,Manjunath Gowda,36,F,Suresh Kumar,33,M,A/1304,Sub-Inspector T. Ashwini,Belagavi District & Sessions Court,Chain Snatching reported at Tilakwadi PS. Complaint registered and investigation concluded.
C72,144790013202600072,202600072,Shivamogga,Shivamogga Town PS,13.887929,75.581273,Missing Person,Missing / UD,BNSS 174,False,2026-03-09,23,Night,Under Investigation,Not Applicable,Lakshmi Naik,38,M,Shivakumar Naik,21,M,A/1202,Sub-Inspector T. Ashwini,Shivamogga District & Sessions Court,Missing Person reported at Shivamogga Town PS. Complaint registered and investigation ongoing.
C73,144190005202600073,202600073,Kalaburagi,Kalaburagi Town PS,17.403531,76.75194,Murder,Crimes Against Body,BNS 103,True,2026-02-05,22,Night,Charge Sheeted,Blunt Object,Ramesh Gowda,48,M,Shivakumar Naik,35,M,A/1321,Inspector S. Chandrakala,Kalaburagi District & Sessions Court,Murder reported at Kalaburagi Town PS. Complaint registered and investigation forwarded to court.
